HS6,HSCODE,NM_EN,NM_KO
294000,2940001010,galactose ,갈락토오스
294000,2940001020,sorbose ,소르보오스
294000,2940001090,beta cyclodextrin powder ,
294000,2940001090,beta cyclodextrin beta cyclodextrin powder ,
294000,2940001090,gammacyclodextrin cavamax ,
294000,2940002010,hydroxypropyl sucrose ,히드록시프로필 슈크로오스
294110,2941101000,penicilline potassium ,페니실린 지(G) 칼륨
294110,2941109010,penicilline sodium ,페니실린 지(G) 나트륨
294110,2941109020,penicilline ,페니실린 브이(V)
294130,2941301000,chlorotetracycline ,클로로 테트라사이클린
294130,2941302000,oxy-tetracycline hydrochloride ,염산 옥시 테트라사이클린
294130,2941303000,chlorotetracycline hydrochloride ,염산 클로로 테트라사이클린
294130,2941309000,oxytetracycline dihydrate ,
294140,2941400000,chloramphenicol derivatives salts ,"클로람페니콜과 그 유도체, 이들의 염"
294150,2941501000,erythromycin thiocyanate ,에리즈로마이신 티오시아네이트
294190,2941902000,11-alpha-chloro-6-deoxy-6-demethyl-6-methylene-5-oxytetracycline-paratoluene sulfonate ,11-알파클로로-6-데옥시-6-데메틸-6-메틸렌-5-옥시테트라시클린-파라톨루엔술포네이트
294190,2941909010,kanamycine sulfate ,황산 카나마이신
294190,2941909020,ledermycine ,레더마이신
294190,2941909030,gentamycine sulfate ,황산 겐타마이신
294190,2941909040,leucomycin ,류코마이신
294190,2941909090,cefazolin sodium free acid ,
294190,2941909099,cefotiam hydrochloride ,
294190,2941909099,antibiotics phosphate ,
294200,2942001000,ketenes ,케텐
294200,2942009010,copper acetoarsenite ,아세트 아비산 동
294200,2942009090,cobalt borate neodecanoate complexes ,
300120,3001201000,civet tincture ,
300120,3001201000,gland extracts ,선(腺) 추출물
300120,3001202000,liver extracts ,간장 추출물
300120,3001203000,gall bag extracts ,담낭 추출물
300120,3001204000,pancreas extracts ,췌장 추출물
300120,3001205000,stomach extracts ,위장 추출물
300190,3001902010,bear＇s gall ,웅담
300190,3001902090,sheep placenta powder ovine placenta powder half-plastic powder ,
300190,3001909010,heparin salts ,헤파린과 그 염
300190,3001909020,human body ,인체의 것
300190,3001909090,human fascia fascian mgpcs fascia biosystems ,
300190,3001909090,corneal eyes ,
300190,3001909090,bee venom ,
300190,3001909090,mouse tumor cell line colon ,
300210,3002101000,monoclonal antibody product put packings medicaments opdivo ,
300210,3002101000,other blood fractions umbilical cord blood stem cell cell suspension ,
300210,3002101000,preparations blood fractions color tbnk kit ,
300210,3002101000,preparations blood fractions imklymphocyte ,
300210,3002101000,preparations blood fractions imk kit ,
300210,3002101000,immunological product put packings medicaments intron redipen sngapor ,
300210,3002101000,preparations blood fractions umbilical cord blood derived mesenchymal stem cell ,
300210,3002101000,preparations blood fractions packings medicaments ,혈액 분획물의 조제과 의약으로 포장된 것
300210,3002101000,monoclonal antibody product put packings medicaments linj puert rico ,
300210,3002101000,immunological product put packings medicaments intron redipen peg iintron sngapor ,
300210,3002101000,monoclonal antibody product put packings medicaments ireland ,
300210,3002101000,immunological product put packings medicaments mulidose pen reland ,
300210,3002101000,abbott monoclonal ,
300210,3002101000,preparations blood fractions cea ,
300210,3002101000,immunological product put packings medicaments iintron redipen sngapor ,
300210,3002101000,abbott monoclonal ,
300210,3002101000,abbott monoclonal ,
300210,3002101000,abbott hberdnaeia ,
300210,3002101000,ovulation test kityou test ,
300210,3002101000,preparations blood fractions myoglobinckmbtroponin ,
300210,3002101000,preparations blood fractions ,
300210,3002101000,preparations blood fractions ,
300210,3002101000,preparations blood fractions nicotine doa ,
300210,3002101000,immunological product put packings medicaments iintron redipen sngapor ,
300210,3002109040,subheading ,제2937.90.9000호의 것
300210,3002109050,subheading ,제3002.90.3020호의 것
300210,3002109090,diagnostic reagents ,
300210,3002109090,prepared diagnostic reagents immunological products insulin elisa ,
300210,3002109090,diagnostic kit ,
300210,3002109090,modified immunological products goat iggheavy light chain antibody hrp ,
300210,3002109090,immunological product solution ,
300210,3002109090,diagnostic reagent kit ,
300210,3002109090,ipilimumab prkorea ,
300210,3002109090,prepared diagnostic reagents immunological products vdrl antigen syphilis serology ,
300210,3002109090,immunological product cgafgf solution ,
300210,3002109090,immunological products diagnostic kit human egf elisa development kit kit ,
300210,3002109090,ipilimumab yervoy ,
300210,3002109090,human blood plasma fraction ,
300210,3002109090,immunological products diagnostic kit flu test physician veritor system ,
300211,3002110000,malaria diagnostic test kits ,말라리아 진단 테스트 키트
300212,3002121000,preparation blood fraction packing retail sale architect hbsag qualitative controls ,
300212,3002121000,preparation blood fraction packing retail sale architect antihcv controls ,
300212,3002121000,preparations blood fractions medications measured doses forms packings retail sale bioline hiv ,
300212,3002121000,preparation blood fraction packing retail sale multichem ,
300212,3002121000,preparations blood fractions packings retail sale bovine igg elisa kit ,
300212,3002121000,preparation blood fraction packing retail sale architect antihbs calibrators ,
300212,3002121000,preparations blood fractions medications measured doses forms packings retail sale bioline syphilis ,
300212,3002121000,preparation blood fraction packing retail sale prism positive run control kit ,
300212,3002121000,preparations blood fractions medications measured doses forms packings retail sale bioline hcv ,
300212,3002129010,antisera ,면역혈청
300212,3002129021,haemoglobin ,헤모글로빈
300212,3002129022,globulins ,글로불린(globulin)
300212,3002129030,thrombin prothrombinase ,트롬빈(thrombin)과 프로트롬비나제(prothrombinase)
300212,3002129040,serums blood plasma excluding reproduced synthesis ,혈청과 혈장(합성인 것은 제외한다)
300214,3002141000,subheading excluding materials manufacturing agricultural chemicals registered materials agricultural chemicals management act ,"소호 제2925.29호, 제2933.29호, 제2934.99호, 제2937.90.1000호, 제3002.90.3010호, 제3907.20호의 것[농약원제(農藥原劑)(농약관리법에 따라 등록된 것으로 한정한다)는 제외한다]"
300215,3002150000,immunological products put measured doses forms packings retail sale kineret syringes ,
300215,3002150000,immunological products packings retail sale specific lgg conjugate ,
300215,3002150000,immunological products packings retail sale latruvo juolaratumab ,
300215,3002150000,immunological products packings retail sale talzfree field syrinzhu iksekizumab genetic recombination ,
300215,3002150000,immunological products packings retail sale vista humancomp mouse rechis protein ,
300215,3002150000,immunological products packings retail sale elia calprotectin conjugate ,
300215,3002150000,immunological products measured doses forms packings retail sale ,"면역물(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)"
300220,3002200000,vaccines human medicine ,백신(인체의약용으로 한정한다)
300230,3002301000,vaccines foot mouth disease ,구제역 백신
300290,3002901000,human blood ,사람의 피
300290,3002902000,animal blood prepared therapeutic prophylactic diagnostic uses ,동물의 피(치료용ㆍ예방용ㆍ진단용으로 조제한 것으로 한정한다)
300290,3002904000,microbial culture probioticsaspergillus oryzae ,
300290,3002904000,microbial culture basil ,
300290,3002904000,microbial culture natto powder ovarian flammable dextrin-containing natto powder ,
300290,3002904000,microbial culture ultra bioguard ,
300290,3002904000,microbial culture bacillus subtillis ,
300290,3002904000,microbial culture novo mac ,
300290,3002904000,microbial culture sporzyme bcc salt ,
300290,3002904000,microbial culture aquablend avian ,
300290,3002904000,clostridium buryicum miyairi powder bispan streptococcus faecium strain cernelle fermalac microbial culture ,
300290,3002904000,protexcin concentrate ,
300290,3002904000,lactic acid bacteria concent ,
300290,3002904000,nitzschia closterium agricultural festival foundation cell microbial culture ,
300290,3002904000,clostridium butyricum miyairi powder ,
300290,3002904000,concentrated chlorella fresh green ,
300290,3002904000,concentrated chlorella mos ,
300290,3002904000,chemical preparations clearflo ,
300290,3002904000,microbial culture ,
300290,3002904000,microbial culture denmark lactobacilli ,
300290,3002904000,microbial culture sanolife mic ,
300290,3002904000,microbial culture photorophic bacteria ,
300290,3002904000,microbial culture golden nitro kara bioferilizer iran ,
300290,3002904000,microbial culture exolution ,
300290,3002904000,microbial cultureclostridium butyricum miyairi powder ,
300290,3002904000,microbial culture microbelift sos zero ,
300290,3002904000,microbial culture bacillus licheniformis ,
300290,3002904000,microbial culture vasillo ,
300290,3002904000,microbial culture ,미생물 배양체
300290,3002905000,virus anti-virus ,바이러스와 항바이러스
300290,3002906000,bacteriophage ,살균소
300290,3002907000,subheading excluding materials manufacturing agricultural chemicals registered materials agricultural chemicals management act ,제2933.29호의 것[농약원제(農藥原劑)(□농약관리법□에 따라 등록된 것으로 한정한다)은 제외한다]
300290,3002908000,subheading ,"소호 제3002.12.1000호, 제3002.12.9021호, 제3002.12.9022호, 3002.12.9030호의 것"
300290,3002909000,abbott ausab eia ,
300290,3002909000,virus similar products denv vlp ,
300310,3003101000,containing penicillines derivatives thereof penicillanic acid structure ,페니실린이나 이들의 유도체(페니실린산 구조를 가진 것)을 함유하는 것
300320,3003201000,anti-tuberculosis preparations anti-cancer preparations ,항결핵제와 항암제
300320,3003209000,feed additive sacox salinomycin sodium bulgari saccox ,
300320,3003209090,medicaments containing antibiotics tiamulin hydrogen fumarate ,
300331,3003310000,containing insulin ,인슐린을 함유한 것
300339,3003391010,preparations containing pituitary anterior hormones ,뇌하수체 전엽 호르몬제제
300339,3003391020,preparations containing pituitary posterior hormones ,뇌하수체 후엽 호르몬제제
300339,3003395000,preparations containing adrenal cortical hormones ,부신피질 호르몬제제
300339,3003397000,preparations containing male sex hormones ,남성 호르몬제제
300339,3003398000,preparations containing estrogens gestagens progestins ,난포와 황체 호르몬제제
300341,3003410000,containing ephedrine salts ,에페드린  그 염을 함유한 것
300342,3003420000,containing pseudoephedrine inn salts ,슈도에페드린(INN)  그 염을 함유한 것
300349,3003491000,anti-cancer preparations ,항암제
300390,3003901000,anti-tuberculosis preparations anthelmintic preparations anticancer preparations ,항결핵제ㆍ구충제ㆍ항암제
300390,3003909300,preparations containing vitamins ,비타민제제
300390,3003909300,vitamin powder ,
300390,3003909300,vitamin premix ,
300390,3003909300,vitamin preparation ,
300390,3003909400,essence horndeer horn ,
300390,3003909400,preparation containing antleryoung ,
300390,3003909400,preparations containing antler ,녹용제제
300390,3003909500,preparations containing ginseng ,인삼제제
300390,3003909900,medicaments tgp powder bulk swiss ,
300390,3003909900,medicament baoyuanlu brown powder medicament akebiae caulis cinnamomi cortex hoelen salviae radix ,
300390,3003909900,medicaments liquid fish acetic acidacetaldehydeenzymesamino acidwater ,
300390,3003909900,medicinal bath herbal hwangwon pharmaceutical desire ,
300410,3004101000,containing penicillins derivatives thereof penicillanic acid structure ,페니실린이나 이들의 유도체(페니실린산 구조를 가진 것)을 함유하는 것
300410,3004102000,containing streptomycins derivatives ,스트렙토마이신이나 이들의 유도체를 함유한 것
300420,3004201000,anti-tuberculosis preparations anthelmintic preparations anti-cancer preparations ,항결핵제ㆍ구충제ㆍ항암제
300420,3004209100,preparations containing chloramphenicol ,클로람페니콜제제
300420,3004209200,preparations containing erythromycin ,에리트로마이신제제
300420,3004209300,preparations containing oxy-tetracycline ,옥시테트라 사이클린제제
300420,3004209400,preparations containing kanamycin ,카나마이신제제
300420,3004209900,medicament animal fumidilb ,
300432,3004320000,containing corticosteroid hormones derivatives structural analogues ,코르티코스테로이드(corticosteroid) 호르몬을 함유한 것과 이들의 유도체나 그와 유사한 구조를 가지는 것
300439,3004391010,medicament norditropin nordilt ,
300439,3004392000,preparations containing salivary gland hormones ,수액선 호르몬제제
300439,3004393000,preparations containing thyroid parathyroid hormones ,갑상샘과 부갑상샘 호르몬제제
300439,3004394000,preparations containing anabolic steroids ,단백동화 스테로이드제제
300439,3004395000,preparations containing adrenal medulla hormones ,부신수질 호르몬제제
300439,3004397000,medicaments containing progestogen cuemate ,
300439,3004399000,medicaments depot ,
300439,3004399000,preparations containing hormone dhea ,
300439,3004399000,medicament liff laboratories ,
300439,3004399000,preparations containing hormones saxenda ,
300440,3004409110,preparations containing morphine ,모르핀제제
300440,3004409120,preparations containing quinine ,키닌제제
300440,3004409130,preparations containing theobromine ,테오브로민제제
300440,3004409210,preparations containing caffeine ,카페인제제
300440,3004409220,preparations containing strychnine ,스트리크닌제제
300440,3004409230,preparations containing ephedrine ,에페드린제제
300440,3004409500,preparations containing arecoline ,아레코린제제
300440,3004409600,preparations containing piperine ,피페린제제
300440,3004409900,medicament containing alkaloid kimite pechscopolamine ,
300443,3004430000,containing norephedrine salts ,놀에페드린  그 염을 함유한 것
300449,3004492010,preparations containing cocaine ,코카인제제
300449,3004492020,preparations containing alkaloids rye ergot ,맥각알칼로이드제제
300449,3004492030,preparations containing nicotine ,니코틴제제
300449,3004493000,preparations containing atropine homatropine ,아트로핀과 호마트로핀제제
300450,3004501000,medicaments containing vitamin derivative isotina soft cap isotina soft capsules ,
300450,3004501000,preparations containing vitamin ,비타민 A제제
300450,3004502010,preparations containing vitamin ,비타민 B1제제
300450,3004503000,vitamin preparation energie tabletten ,
300450,3004503000,preparations containing vitamin ,비타민 C제제
300450,3004503000,preparations containing vitaminc combicc ,
300450,3004503000,vitamin preparation vitamin ohne zucker ,
300450,3004504000,preparations containing vitamin ,비타민 D제제
300450,3004505000,preparations containing vitamin ,비타민 E제제
300450,3004505000,vitamin preparation ,
300450,3004505000,vitamin preparation vitamin ,
300450,3004505000,medicamentvitamiv ,
300450,3004506000,preparations containing vitamin ,비타민 H제제
300450,3004507000,preparations containing vitamin ,비타민 K제제
300450,3004509000,other medicaments containing vitamins retail sale party patch hangover defense topical patch ,
300450,3004509000,medicamentfood tab ,
300450,3004509000,medicament containing vitamin multi vitamin kuensan ,
300450,3004509000,medicament containing vitamin ,
300450,3004509000,medicament containing vitamins zinc mgcapsule ,
300450,3004509000,vitamin preparation hemes ,
300450,3004509000,medicament containing vitamin stress formula ,
300450,3004509000,multivitamin multimineral tablet ,
300450,3004509000,vitamin preparation vitalea ,
300450,3004509000,medicaments ocuvite presservision ,
300450,3004509000,medicaments ,
300450,3004509000,energy patches nrg skin refreshing vitamin pack positive energy ,
300450,3004509000,vitamin preparation schizandra ,
300450,3004509000,hangover patch skin moisture rising vitamin pack ,
300450,3004509000,other medicaments containing vitamins vitamin ,
300450,3004509000,vitamin preparation multivitamin ohne zucker ,
300450,3004509000,vitamine preparation ,
300450,3004509000,medicament lets diet ,
300460,3004600000,other containing antimalarial active principles described subheading note chapter ,기타(이 류의 소호주 제2호에 열거한 항말라리아 활성성분을 함유한 것에 한정한다)
300490,3004901000,medicaments praziquantel ,
300490,3004901000,anthelmintic evict ,
300490,3004901000,medicaments preparation tepadina thiotepa ,
300490,3004909100,preparations containing aspirin ,아스피린제제
300490,3004909200,preparations containing anti-allergic agents ,항히스타민제제
300490,3004909200,medicaments eye drop belgium ,
300490,3004909300,preparations containing antlerhornmin ,
300490,3004909300,preparations containing antler plum green hemolysis ,
300490,3004909400,medicament shim hwan ,
300490,3004909400,preparations containg ginseng yishoubao pill medicine redginseng lysium chinese crataegi fructus hoelen carthami flos anshan jinlong health protection products plant ,
300490,3004909400,medicament changeolife ,
300490,3004909400,medicament formula ,
300490,3004909400,medicament samyong sampyeonhwan ,
300490,3004909400,medicament ginseng steel kidney ,
300490,3004909400,antismoking containing ginsengstop smoking machine age ,
300490,3004909400,medicament change life ,
300490,3004909400,preparation containing ginseng ,
300490,3004909400,medicament youngsimdan ,
300490,3004909500,preparations containing royal ,로열젤리 제제
300490,3004909900,medicament seldicine herbal medicine cream sheldicin ,
300490,3004909900,echinacea mixed puepurea garlic aloe vera astragalus herbal guard ,
300490,3004909900,medicament rone tablet medicament pueraria mirifica powder lactose glycerin fatty acid ester world creative ,
300490,3004909900,medicament white powder pearl powder ,
300490,3004909900,medicament noltec ilaprazole delayedrelease tablets ,
300490,3004909900,medicament phytosome capsbottle formedicament hawthorn extract phospholipids cellulose ,
300490,3004909900,medicament thermo lift ,
300490,3004909900,glucosamine hydrochloride mixed boswellia serrata estract engage ,
300490,3004909900,medical creammedical cream ,
300490,3004909900,medicament allerease capsbottle medicament wild cherry bark quercetin licorice ephedra ,
300490,3004909900,medicament ,
300490,3004909900,medicament set ,
300490,3004909900,medicament viaxen men sexual potency vesetable extractsyohimbe barkashwaganda rootdamianapanax ginseng damiana gingko biloba muira puama cellulose magnesium stearate water philips nutritionals ,
300490,3004909900,larva queen bee main raw materialmixed honey royal liquid ,
300490,3004909900,medicament bust queen mgtablet tabletsbottle medicament pueraria mirificalactosesucrosevitamin ,
300490,3004909900,medicament kwao mgtablet tabletsbottle medicament pueraria mirificalactosestarchcalcium carbonate ,
300490,3004909900,medicament red bull mlbottle medicament taurine mgglucuronolactone inositol vitamins water ,
300490,3004909900,injectable micro implant ,
300490,3004909900,medicament mystic stone ,
300490,3004909900,medicament sleep relax capsbottle medicament valerian root extract scullcap rice flour passion flower hop ,
300490,3004909900,grape seed extract spirulina lecithin aloe vera mixture vegie power ,
300490,3004909900,medicament nutrazyme palmetto berriesginkgo biloba extractturmeric rootvitamin betacaroteneniacinprotease amylaselipasefolic acid ,
300490,3004909900,medicaments poysian brand mark ,
300490,3004909900,medicament site amount ,
300490,3004909900,medicaments poysian mark inhaler ,
300490,3004909900,medicaments kalsis ,
300490,3004909900,medicaments ,
300490,3004909900,medicaments ocoxin ,
300490,3004909900,medicament mepiril tablet ,
300490,3004909900,medicaments samil ,
300490,3004909900,medicaments peppermint field inhaler ,
300490,3004909900,medicament kelp tablets veterinary ,
300490,3004909900,medicament raspberry leaf tablets ,
300490,3004909900,medicaments ,
300490,3004909900,medicament defitelio ,
300490,3004909900,medicaments ,
300490,3004909900,medicament respzz liquid ,
300490,3004909900,medicaments packings retail sale ,
300490,3004909900,medicament mentho pas lotion ,
300490,3004909900,medicaments 100-year health high school ,
300490,3004909900,medicament viaxen women capsulesbottle sexual enhancement vesetable extractsdong quaipanax ginseng damiana terrestris kava kava calcium phosphate cellulose magnesium stearate philips nutritionals ,
300490,3004909900,medicaments ireland ,
300490,3004909900,medicaments ,
300490,3004909900,medicaments slimline patch ,
300490,3004909900,collagen preparation coltrix cartiregen ,
300490,3004909900,other medicaments gel sport warmup ,
300490,3004909900,medicaments local anesthetic ,
300490,3004909900,medicaments netherl ,
300490,3004909900,medicament tlffy inhaler ,
300490,3004909900,medicinal bath fokang ,
300490,3004909900,keprofen ,
300490,3004909900,medicaments liquid ice recovery pack ,
300490,3004909900,medicaments netherl ,
300490,3004909900,digestant neo stom ,
300490,3004909900,medicament strauss heartdrops ,
300490,3004909900,collagen plugs ,
300490,3004909900,medicaments gel ,
300490,3004909900,medicament pepex inhaler ,
300490,3004909900,medicament animal ,
300490,3004909900,medicaments liquid ice recharger ,
300490,3004909900,medicament papayaginger rhizomefenugreek seedamylaseprotease invertaseprotease alphagalactosidasepeptidaseglucoamylase ,
300490,3004909900,medicament poysian mark ,
300490,3004909900,medicament bss liquid ,
300490,3004909900,medicament bss pack ,
300490,3004909900,medicament packing retail sale tokuyama force ,
300490,3004909900,medicaments adjuvant bottle ,
300490,3004909900,medicaments solution ,
300490,3004909900,medicament withee doctors complex glucosamine ,
300490,3004909900,medicament liber tab ,
300490,3004909900,medicament iberogast tinktur ,
300490,3004909900,medicaments mineral imputed water ,
300490,3004909900,medicament animal recovery extra strength recovery extra strength chewable tablets recovery s.a.a ,
300490,3004909900,medicament sulphur allagen extract ,
300490,3004909900,medicament mokjokheon ,
300490,3004909900,medicament ginkgo biloba ,
300490,3004909900,medicaments diet patch ,
300490,3004909900,medicament lantiseptic ,
300490,3004909900,medicamentsquick weight loss tea ,
300490,3004909900,smoking liquidjyl ,
300490,3004909900,medicament stay mint ,
300490,3004909900,slim mint ,
300490,3004909900,dental flossoralb unwaxed ,
300490,3004909900,medicament powder ,
300490,3004909900,atelocollagen implant fruit nuggets ,
300490,3004909900,medicament vicks dropsmentolantitussive ,
300490,3004909900,medicament weight control spray ,
300490,3004909900,medicament lunar year ,
300490,3004909900,medicament magnesium ohne zucker ,
300490,3004909900,patchcoated pharmaceutical substances potency patch ,
300490,3004909900,medicament nutrition tonic ,
300490,3004909900,povidoneiodine ointment ,
300490,3004909900,proalbum caps ,
300490,3004909900,povidoneiodine pad ,
300490,3004909900,theraffin therapeutic paraffin ,
300490,3004909900,medicamentsdabao senile freckle removing cream ,
300490,3004909900,medicament savex ,
300490,3004909900,medicament hap ,
300490,3004909900,medicament calcium brause tabletten ohne zucker ,
300490,3004909900,medicament newskin ,
300490,3004909900,king cobra super ,
300490,3004909900,medicament ,
300490,3004909900,medicament endorphins ,
300490,3004909900,quit smoking perfume ,
300490,3004909900,old-fashioned government ,
300490,3004909900,medicament palmetto berries ,
300490,3004909900,cushion various medicinal herbs ,
300490,3004909900,medicament caridex caries systemdental pharmaceutical product ,
300490,3004909900,medicament antihemorrhoidrongchang yantai ,
300490,3004909900,mixtures garcinia lgarcinia choline insitol system ,
300490,3004909900,mixtures dermasterone aloe vera gel cyclmeticone progestone ,
300490,3004909900,medicament kalahari devils claw ,
300490,3004909900,medicament gumaid ,
300490,3004909900,medicaments placenta liquid liquid sheep embryo extract lycium chinese miller radix condonopsis radix astragali health product ,
300490,3004909900,medicament gbottle medicament aformosanus hay leaf ,
300490,3004909900,antismoking spray ,
300490,3004909900,medicament ginkgo leaf exis ,
300490,3004909900,medicament marlyn ,
300490,3004909900,medicament hormotex ,
300490,3004909900,medicament yohimbe ,
300499,3004999900,sheep placenta liquid font concentrate ,
300510,3005101000,adhesive plasters ,반창고
300510,3005101000,adhesive plasterplastic bandages ,
300510,3005101000,adhesive plasters fix ,
300510,3005109000,antipressure plaster ,
300510,3005109000,self adhesive pad ,
300510,3005109000,adhesive dressing stringtex tape ,
300510,3005109000,adhesive dressings vcs sheets oethylascorbic acid ascorbic acidtocopheryl acetaterosemary extractfragrancegel hypox labincjapan ,
300510,3005109000,article having adhesive layer ,
300510,3005109000,articles having adhesive layer ,
300510,3005109000,atricles having adhesive layer magrain ,
300510,3005109000,other articles having adhesive layer shylphrun kinesiology tape ,
300510,3005109000,cooling gel sheet atex cooling sheet ,
300510,3005109000,other articles having adhesive layer magic face lift sheet ,
300510,3005109000,other articles having adhesive layer cohesive tape ,
300510,3005109000,adhesive dressing spot patch ,
300510,3005109000,cooling sheet heat descent sheet ,
300510,3005109000,adhesive plasters nude ,
300510,3005109000,cooling gel sheet meditham rest ,
300510,3005109000,other articles having adhesive layer miracle tape ,
300510,3005109000,other articles having adhesive layer kinesio tex ,
300510,3005109000,other articles having adhesive layer kinesio tex ,
300590,3005901000,waddings ,탈지면
300590,3005902000,gauze ,거즈
300590,3005903000,bandage ,
300590,3005903000,fracture bandage casting tape ,
300590,3005903000,fracture bandage cast ,
300590,3005903000,bandages emergency mid size single ,
300590,3005903000,fracture bandage tomato trc ,
300590,3005903000,bandages ,붕대
300590,3005903000,fracture bandage tomato trc ,
300590,3005904000,metalline dressing ,
300590,3005904000,prepared dressings collagen sponge ,
300590,3005904000,prepared dressings poultices ,조제 드레싱과 습포제
300590,3005909000,alcohol prep pad ,
300590,3005909000,gel air insole ,
300590,3005909000,gel bunion move ,
300590,3005909000,ophthalmology sheet barrier ,
300590,3005909000,toe seperatos ,
300590,3005909000,burn blankets ,
300590,3005909000,burn blanket water jel gelsoaket miniwrap ,
300590,3005909000,dental floss ,
300590,3005909000,gel toefinger tubes ,
300590,3005909000,other retail packings articles medical purposes prep pad ,
300590,3005909000,other retail packings articles medical purposes swab ,
300590,3005909000,heel cups ,
300610,3006101000,absorbable adhension ,
300610,3006101010,sterile surgical catgut ,살균한 외과용 캣거트(catgut)
300610,3006101020,sterile suture materials including sterile absorbable surgical dental yarns ,살균한 봉합재(살균한 외과용이나 치과용 흡수성 실을 포함한다)
300610,3006101020,sterile polydioxanone suture needle yrn ,
300610,3006101020,sterile suture materials armed suture needle ,
300610,3006102000,sterile tissue adhesives surgical wound closure ,살균한 외과용 수술상처의 봉합용 접착제
300610,3006103000,sterile laminaria sterile laminaria tents ,살균한 라미나리아와 살균한 라미나리아의 텐트
300610,3006104000,sterile absorbable surgical haemostatics nexspowder ,
300610,3006104000,sterile absorbable surgical dental haemostatics ,살균한 외과용이나 치과용 흡수성 지혈제
300610,3006105020,knitted crocheted fabrics ,메리야스 편물이나 뜨개질 편물로 만든 것
300610,3006105090,sterile dental adhesion barriers membrane pericardium collagene membrane ,
300620,3006200000,blood-grouping reagents ,혈액형 분류용 시약
300630,3006301000,opacifying preparations x-ray examination ,엑스선 검사용 조영제
300630,3006302000,diagnostic reagents designed administered patient ,진단용 시약(환자 투여용)
300640,3006401000,dental cements ,치과용 시멘트
300640,3006401000,denture adhesive cream super poligrip ,
300640,3006402000,dental fillings ,치과용 충전제
300640,3006402000,dental fillings percha points ,
300640,3006403000,bone reconstruction cements ,뼈 형성용 시멘트
300640,3006403000,bone reconstruction cements granules natural bovine bone ,
300640,3006403000,bone reconstruction cements injectable cement ,
300650,3006500000,first-aid boxes kits ,구급상자와 구급대
300660,3006600000,chemical contraceptive preparation hormone diane cyproterone acetate ethinyl lactose monohydrate maize starch ,
300660,3006600000,chemical contraceptive preparations based hormones other products heading spermicides ,제2937호의 호르몬과 기타 제이나 살정자제(殺精子劑)를 기본 재료로 하는 피임성의 화학조제
300660,3006600000,chemical contraceptive preparation hormone triquilar levonorgestrel ethinyl lactose monohydrate maize starch ,
300660,3006600000,chemical contraceptive preparation hormone minivlar levonorgestrel ethinyl lactose monohydrate maize starch ,
300670,3006700000,gel preparations designed used human veterinary medicine lubricant parts body surgical operations physical examinations coupling agent body medical instruments ,외과수술이나 신체검사를 할 때 신체 각 부분의 윤활제로 사용되거나 신체와 의료기기 사이의 접착약으로서 사람이나 수의약에 사용되는 겔(gel) 조제
300691,3006910000,appliances identifiable ostomy use ,장루(腸瘻)용으로 인정되는 기구
300692,3006921010,skin bone grafts ,피부와 뼈(이식용으로 한정한다)
300692,3006922010,preparations blood fractions medications measured doses forms packings retail sale ,"혈액 분획물의 조제, 의약으로서 일정한 투여량으로 한 것  소매용 모양이나 포장을 한 것"
300692,3006922020,haemoglobin globulins ,헤모글로빈과 글로불린(globulin)
300692,3006922031,saxitoxin ,색시톡신(saxitoxin)
300692,3006922032,ricin ,리신(ricin)
300692,3006923000,heading ,제3003호와 제3004호의 것
300692,3006924000,heading ,제3005호와 제3006호의 것
300692,3006925000,subheading ,"소호 제3824.84호부터 제3824.88호까지, 제3824.91호, 제3824.99호의 것"
310100,3101001010,guano ,구아노(guano)
310100,3101002000,vegetable ferrilizer ,
310100,3101002000,vegetable fertilisers ,식물성 비료
310100,3101002000,vegetable fertilizer organic fertilizer ingredients ,
310100,3101002000,vegetable fertilizer russian ,
310100,3101003000,fertilisers acid fertilizer ,
310100,3101003000,fertilisers amino acid liquid ratio ,
310100,3101003000,fertilizer mixed fertilizer ,
310100,3101003000,fertilizer sod ,
310100,3101003000,fertilizer sun nekka ,
310100,3101003000,animal vegetable fertiliser biogreen ,
310100,3101003000,vegetable fertilisers blended organic substances ,
310100,3101003000,fertilisers produced mixing chemical treatment animal vegetable products ,동물성ㆍ식물성 물을 혼합하거나 화학적으로 처리한 비료
310100,3101003000,fertiliser mixing animal vegetable friendly soil ,
310100,3101003000,fertilisers gipotp natural microorganisms ,
310210,3102101000,agricultural fertilizers manufacturing agricultural fertilizers ,비료나 비료제조용
310221,3102210000,ammonium sulphate ,
310221,3102210000,ammonium sulphate ,황산암모늄
310229,3102291000,double salts ammonium sulphate ammonium nitrate ,황산암모늄과 질산암모늄의 겹염
310229,3102292000,mixtures ammonium sulphate ammonium nitrate ,황산암모늄과 질산암모늄의 혼합물
310230,3102300000,ammonium nitrate aqueous solution ,질산암모늄(수용액의 것인지에 상관없다)
310240,3102400000,mixtures ammonium nitrate calcium carbonate other inorganic non-fertilising substances ,질산암모늄의 혼합물(탄산칼슘이나 그 밖의 비료성분이 아닌 무기물을 첨가한 것으로 한정한다)
310250,3102501000,natural ,천연의 것
310260,3102600000,calcium nitrate mixture nitical cntg ,
310260,3102600000,double salts mixtures calcium nitrate ammonium nitrate ,질산칼슘ㆍ질산암모늄의 겹염과 혼합물
